original_path,destination_path,source_sha256,destination_sha256,role,disposition,reason,verification
".gitattributes","src/rosy_control/.gitattributes","1d5d71dcc6ccd28ab46a335349ecc74742ca4b81f4fcad212f8d134f70f1f13e","1d5d71dcc6ccd28ab46a335349ecc74742ca4b81f4fcad212f8d134f70f1f13e","package-metadata","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
".github/workflows/ci.yml","src/rosy_control/.github/workflows/ci.yml","f697fe394d31ecb47f0d73ad5713478e9f55521cb316e44b51689d9624c50229","","package-metadata","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
".github/workflows/release.yml","src/rosy_control/.github/workflows/release.yml","c250fe160875d2d92112708f8b5508b5b8c31d77b4ea524e9bda45bca4fdc857","","package-metadata","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
".gitignore","src/rosy_control/.gitignore","222b0705bf131afcbbaadcbc4c9806b873f1673c3c0d838942e17163c9689050","222b0705bf131afcbbaadcbc4c9806b873f1673c3c0d838942e17163c9689050","package-metadata","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"AGENTS.md","src/rosy_control/AGENTS.md","a44bd43f7ed953efdbc4ad5a27c65c3edf32472416ead14571f67cfef676808a","af253222d08d4aceac9086d7c1028048bdf700deafa7a43889b0570744b71032","package-metadata","merged","Absorbed and adapted for Rosy OS ownership","OS-local pytest and package ownership checks"
"CLAUDE.md","src/rosy_control/CLAUDE.md","4f9f1b8471dd5a62f225a9629f1bccafff42fe191826131dda5e98d6ecb89205","fb4fc6e569b2487d92939ec66d2d2a4845dcf56d1c226cb642df0c04948e9de8","package-metadata","adapted","Canonical Rosy OS and Device guide; historical standalone guide remains archived","OS package ownership and Device guide contract tests"
"README.md","src/rosy_control/README.md","786432a334ead9486655bc040967dcba885ad2a27a5c1a66d01cdc9f0b2e2f0b","786432a334ead9486655bc040967dcba885ad2a27a5c1a66d01cdc9f0b2e2f0b","package-metadata","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"STEPS.txt","src/rosy_control/STEPS.txt","e4cd3df6fc0ab8d1de6ad2d37ac7ea01e79ed399396bd840e5d5ecca23b85ab0","a3bbf90c8f51233f88e0514782cc67955d252ca5b5431230d158c97cc2791592","package-metadata","adapted","Canonical Rosy OS and Device runbook; historical standalone runbook remains archived","OS package ownership and Device guide contract tests"
"config/AGENTS.md","src/rosy_control/config/AGENTS.md","17dfede1e81eae76b29a619591702f9a641722b6a75ebcbdcd42500e7a8d47cd","17dfede1e81eae76b29a619591702f9a641722b6a75ebcbdcd42500e7a8d47cd","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/auto_calib.yaml","src/rosy_control/config/auto_calib.yaml","b38fd7c32458c2d6b9542735807aa31a84f67f72b9d6473f855404402883d87e","b38fd7c32458c2d6b9542735807aa31a84f67f72b9d6473f855404402883d87e","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
