source,line,kind,expression,declared_default,scope
calib_node.py,117,parameter:save_path,'',,relative_or_frame
calib_node.py,121,parameter:sign_path,'',,relative_or_frame
calib_node.py,125,parameter:ir_topic,'ir_sensor/range',ir_sensor/range,relative_or_frame
calib_node.py,135,create_publisher,'calib/status',calib/status,relative_or_frame
calib_node.py,136,create_publisher,'calib/phase',calib/phase,relative_or_frame
calib_node.py,137,create_publisher,'cmd_vel_raw',cmd_vel_raw,relative_or_frame
calib_node.py,138,create_publisher,'wander/cmd',wander/cmd,relative_or_frame
calib_node.py,139,create_subscription,self.get_parameter('ir_topic').value,ir_sensor/range,relative_or_frame
calib_node.py,142,create_subscription,'calib/step',calib/step,relative_or_frame
calib_node.py,143,create_subscription,'odom',odom,relative_or_frame
calib_node.py,144,create_subscription,'scan',scan,relative_or_frame
calib_node.py,147,create_subscription,'us_sensor/range',us_sensor/range,relative_or_frame
calib_node.py,148,create_subscription,'imu_raw',imu_raw,relative_or_frame
calib_node.py,566,create_client,'safety_node/set_parameters',safety_node/set_parameters,relative_or_frame
camera_detect_node.py,47,parameter:camera_frame,'camera_link',camera_link,relative_or_frame
camera_detect_node.py,53,parameter:warmup_frames,12,,dynamic_unresolved
camera_detect_node.py,71,create_publisher,'camera/cliff',camera/cliff,relative_or_frame
camera_detect_node.py,72,create_publisher,'camera/blocked',camera/blocked,relative_or_frame
camera_detect_node.py,73,create_publisher,'camera/side',camera/side,relative_or_frame
camera_detect_node.py,74,create_publisher,'camera/debug',camera/debug,relative_or_frame
camera_detect_node.py,75,create_publisher,'camera/front',camera/front,relative_or_frame
camera_detect_node.py,76,create_publisher,'camera/observation',camera/observation,relative_or_frame
camera_detect_node.py,77,create_publisher,'camera/controls',camera/controls,relative_or_frame
camera_detect_node.py,259,frame_assignment,str(self.get_parameter('camera_frame').value),,dynamic_unresolved
control_node.py,24,parameter:cmd_vel_topic,'cmd_vel_raw',cmd_vel_raw,relative_or_frame
control_node.py,25,parameter:odom_topic,'odom',odom,relative_or_frame
control_node.py,37,create_publisher,cmd_topic,,dynamic_unresolved
control_node.py,38,create_subscription,self.get_parameter('odom_topic').value,odom,relative_or_frame
control_node.py,39,create_subscription,'goal_distance',goal_distance,relative_or_frame
control_node.py,40,create_subscription,'goal_rotate',goal_rotate,relative_or_frame
goal_escape.py,19,create_publisher,'goal/straight_escape',goal/straight_escape,relative_or_frame
goal_escape.py,20,create_subscription,'safety/motion_limits',safety/motion_limits,relative_or_frame
goal_escape.py,21,create_subscription,'goal/straight_escape_result',goal/straight_escape_result,relative_or_frame
goal_node.py,53,parameter:map_topic,'map',map,relative_or_frame
goal_node.py,54,parameter:odom_topic,'odom',odom,relative_or_frame
goal_node.py,63,create_subscription,'obstacles/tracks',obstacles/tracks,relative_or_frame
goal_node.py,66,create_subscription,'localization/status',localization/status,relative_or_frame
goal_node.py,77,create_subscription,'calibration/status',calibration/status,relative_or_frame
goal_node.py,98,create_subscription,self.get_parameter('map_topic').value,map,relative_or_frame
goal_node.py,102,create_subscription,self.get_parameter('odom_topic').value,odom,relative_or_frame
goal_node.py,104,create_subscription,'goal/cmd',goal/cmd,relative_or_frame
goal_node.py,105,create_subscription,'goal/arrival',goal/arrival,relative_or_frame
goal_node.py,107,create_publisher,'goal_point',goal_point,relative_or_frame
goal_node.py,108,create_publisher,'goal/manual_result',goal/manual_result,relative_or_frame
goal_node.py,111,create_publisher,'route',route,relative_or_frame
goal_node.py,112,create_publisher,'goal_node/state',goal_node/state,relative_or_frame
goal_node.py,113,create_publisher,'goal/options',goal/options,relative_or_frame
goal_node.py,114,create_publisher,'goal/eta',goal/eta,relative_or_frame
goal_node.py,126,create_subscription,'wander/state',wander/state,relative_or_frame
goal_node.py,352,tf_source,'base_link',base_link,relative_or_frame
goal_node.py,352,tf_target,'map',map,relative_or_frame
goal_node.py,402,tf_source,'odom',odom,relative_or_frame
goal_node.py,402,tf_target,'map',map,relative_or_frame
goal_node.py,476,frame_assignment,'map',map,relative_or_frame
goal_node.py,520,frame_assignment,'map',map,relative_or_frame
goal_node.py,552,frame_assignment,'map',map,relative_or_frame
localization_node.py,38,create_publisher,'localization/status',localization/status,relative_or_frame
localization_node.py,39,create_publisher,'initialpose',initialpose,relative_or_frame
localization_node.py,41,create_subscription,'map',map,relative_or_frame
localization_node.py,42,create_subscription,'scan',scan,relative_or_frame
localization_node.py,43,create_subscription,'amcl_pose',amcl_pose,relative_or_frame
localization_node.py,44,create_subscription,'safety/pickup',safety/pickup,relative_or_frame
localization_node.py,45,create_client,'reinitialize_global_localization',reinitialize_global_localization,relative_or_frame
localization_node.py,46,create_client,'request_nomotion_update',request_nomotion_update,relative_or_frame
localization_node.py,126,tf_source,self.scan.header.frame_id,,dynamic_unresolved
localization_node.py,126,tf_target,'base_link',base_link,relative_or_frame
localization_node.py,130,frame_assignment,'map',map,relative_or_frame
localization_node.py,152,tf_source,self.scan.header.frame_id,,dynamic_unresolved
localization_node.py,152,tf_target,'odom',odom,relative_or_frame
localization_node.py,187,tf_source,self.scan.header.frame_id,,dynamic_unresolved
localization_node.py,187,tf_target,'map',map,relative_or_frame
localization_node.py,216,tf_source,self.scan.header.frame_id,,dynamic_unresolved
localization_node.py,216,tf_target,'base_link',base_link,relative_or_frame
obstacle_observer_node.py,20,parameter:scan_topic,'scan',scan,relative_or_frame
obstacle_observer_node.py,21,parameter:tracking_frame,'odom',odom,relative_or_frame
obstacle_observer_node.py,36,create_publisher,'obstacles/tracks',obstacles/tracks,relative_or_frame
obstacle_observer_node.py,37,create_publisher,'mapping/scan',mapping/scan,relative_or_frame
obstacle_observer_node.py,41,create_subscription,self.get_parameter('scan_topic').value,scan,relative_or_frame
obstacle_observer_node.py,63,tf_source,msg.header.frame_id,,dynamic_unresolved
obstacle_observer_node.py,63,tf_target,frame,,dynamic_unresolved
safety/bumper.py,67,tf_source,msg.header.frame_id,,dynamic_unresolved
safety/bumper.py,67,tf_target,'base_link',base_link,relative_or_frame
safety/evidence.py,25,create_publisher,'calibration/applied',calibration/applied,relative_or_frame
safety/evidence.py,26,create_subscription,'calibration/profile',calibration/profile,relative_or_frame
safety/evidence.py,35,create_publisher,'safety/profile',safety/profile,relative_or_frame
safety/evidence.py,36,create_publisher,'safety/observation',safety/observation,relative_or_frame
safety/evidence.py,37,create_publisher,'safety/decision',safety/decision,relative_or_frame
safety/node.py,45,create_subscription,'localization/status',localization/status,relative_or_frame
safety/node.py,52,parameter:scan_topic,'scan',scan,relative_or_frame
safety/node.py,53,parameter:us_topic,'us_sensor/range',us_sensor/range,relative_or_frame
safety/node.py,54,parameter:ir_topic,'ir_sensor/range',ir_sensor/range,relative_or_frame
safety/node.py,75,parameter:imu_topic,'imu_raw',imu_raw,relative_or_frame
safety/node.py,86,parameter:camera_cliff_topic,'camera/cliff',camera/cliff,relative_or_frame
safety/node.py,87,parameter:camera_block_topic,'camera/blocked',camera/blocked,relative_or_frame
safety/node.py,123,create_publisher,self.cmd_out,,dynamic_unresolved
safety/node.py,124,create_publisher,self.get_parameter('cmd_in').value,cmd_vel_raw,relative_or_frame
safety/node.py,125,create_publisher,'safety/blocked',safety/blocked,relative_or_frame
safety/node.py,126,create_publisher,'safety/cliff',safety/cliff,relative_or_frame
safety/node.py,127,create_publisher,'safety/tilt',safety/tilt,relative_or_frame
safety/node.py,128,create_publisher,'safety/pickup',safety/pickup,relative_or_frame
safety/node.py,129,create_publisher,'safety/min_range',safety/min_range,relative_or_frame
safety/node.py,130,create_publisher,'safety/us_range',safety/us_range,relative_or_frame
safety/node.py,131,create_publisher,'safety/rear_range',safety/rear_range,relative_or_frame
safety/node.py,132,create_publisher,'safety/rear_clear',safety/rear_clear,relative_or_frame
safety/node.py,133,create_publisher,'safety/left_range',safety/left_range,relative_or_frame
safety/node.py,134,create_publisher,'safety/right_range',safety/right_range,relative_or_frame
safety/node.py,135,create_publisher,'safety/rear_left',safety/rear_left,relative_or_frame
safety/node.py,136,create_publisher,'safety/rear_right',safety/rear_right,relative_or_frame
safety/node.py,137,create_publisher,'safety/can_reverse',safety/can_reverse,relative_or_frame
safety/node.py,138,create_publisher,'safety/open_range',safety/open_range,relative_or_frame
safety/node.py,139,create_publisher,'safety/open_yaw',safety/open_yaw,relative_or_frame
safety/node.py,140,create_publisher,'safety/map_range',safety/map_range,relative_or_frame
safety/node.py,141,create_publisher,'safety/open_max',safety/open_max,relative_or_frame
safety/node.py,142,create_publisher,'safety/corridor',safety/corridor,relative_or_frame
safety/node.py,143,create_publisher,'safety/narrow',safety/narrow,relative_or_frame
safety/node.py,144,create_publisher,'safety/frontier_yaw',safety/frontier_yaw,relative_or_frame
safety/node.py,145,create_publisher,'safety/frontier_range',safety/frontier_range,relative_or_frame
safety/node.py,146,create_publisher,'safety/route_yaw',safety/route_yaw,relative_or_frame
safety/node.py,147,create_publisher,'safety/route_range',safety/route_range,relative_or_frame
safety/node.py,148,create_publisher,'safety/exit_yaw',safety/exit_yaw,relative_or_frame
safety/node.py,149,create_publisher,'safety/exit_range',safety/exit_range,relative_or_frame
safety/node.py,150,create_publisher,'safety/robot_radius',safety/robot_radius,relative_or_frame
safety/node.py,151,create_publisher,'safety/motion_limits',safety/motion_limits,relative_or_frame
safety/node.py,152,create_publisher,'wander/cmd',wander/cmd,relative_or_frame
safety/node.py,153,create_publisher,'calib/step',calib/step,relative_or_frame
safety/node.py,160,create_publisher,'estop/state',estop/state,relative_or_frame
safety/node.py,164,create_subscription,'calibration/drive_scale',calibration/drive_scale,relative_or_frame
safety/node.py,165,create_subscription,'calibration/ready',calibration/ready,relative_or_frame
safety/node.py,166,create_subscription,self.get_parameter('cmd_in').value,cmd_vel_raw,relative_or_frame
safety/node.py,167,create_subscription,'estop',estop,relative_or_frame
safety/node.py,168,create_subscription,'estop/cmd',estop/cmd,relative_or_frame
safety/node.py,169,create_subscription,self.get_parameter('scan_topic').value,scan,relative_or_frame
safety/node.py,172,create_subscription,self.get_parameter('us_topic').value,us_sensor/range,relative_or_frame
safety/node.py,175,create_subscription,self.get_parameter('ir_topic').value,ir_sensor/range,relative_or_frame
safety/node.py,178,create_subscription,self.get_parameter('camera_cliff_topic').value,camera/cliff,relative_or_frame
safety/node.py,181,create_subscription,self.get_parameter('camera_block_topic').value,camera/blocked,relative_or_frame
safety/node.py,184,create_subscription,self.get_parameter('imu_topic').value,imu_raw,relative_or_frame
safety/obstacles.py,18,create_subscription,'obstacles/tracks',obstacles/tracks,relative_or_frame
safety/obstacles.py,19,create_subscription,'camera/observation',camera/observation,relative_or_frame
safety/obstacles.py,45,tf_source,'base_link',base_link,relative_or_frame
safety/obstacles.py,45,tf_target,'odom',odom,relative_or_frame
startup_calibration_node.py,68,parameter:result_path,str(Path.home() / '.local/state/rosy_control/calibration.json'),,dynamic_unresolved
startup_calibration_node.py,71,create_publisher,'calibration/status',calibration/status,relative_or_frame
startup_calibration_node.py,72,create_publisher,'calibration/ready',calibration/ready,relative_or_frame
startup_calibration_node.py,73,create_publisher,'calibration/drive_scale',calibration/drive_scale,relative_or_frame
startup_calibration_node.py,74,create_publisher,'calibration/profile',calibration/profile,relative_or_frame
startup_calibration_node.py,77,create_subscription,'safety/profile',safety/profile,relative_or_frame
startup_calibration_node.py,78,create_subscription,'calibration/applied',calibration/applied,relative_or_frame
startup_calibration_node.py,79,create_subscription,'safety/decision',safety/decision,relative_or_frame
startup_calibration_node.py,80,create_publisher,'cmd_vel_raw',cmd_vel_raw,relative_or_frame
startup_calibration_node.py,81,create_publisher,'wander/cmd',wander/cmd,relative_or_frame
startup_calibration_node.py,82,create_subscription,'calibration/cmd',calibration/cmd,relative_or_frame
startup_calibration_node.py,83,create_subscription,'estop/state',estop/state,relative_or_frame
startup_calibration_node.py,84,create_subscription,'wander/state',wander/state,relative_or_frame
startup_calibration_node.py,85,create_subscription,'scan',scan,relative_or_frame
startup_calibration_node.py,86,create_subscription,'odom',odom,relative_or_frame
startup_calibration_node.py,87,create_subscription,'map',map,relative_or_frame
startup_calibration_node.py,88,create_subscription,'ir_sensor/range',ir_sensor/range,relative_or_frame
startup_calibration_node.py,89,create_subscription,'us_sensor/range',us_sensor/range,relative_or_frame
startup_calibration_node.py,90,create_subscription,'imu_raw',imu_raw,relative_or_frame
startup_calibration_node.py,91,create_subscription,'camera/front',camera/front,relative_or_frame
startup_calibration_node.py,94,create_subscription,'safety/motion_limits',safety/motion_limits,relative_or_frame
startup_calibration_node.py,96,create_subscription,'safety/can_reverse',safety/can_reverse,relative_or_frame
startup_calibration_node.py,99,create_subscription,topic.lstrip('/'),,dynamic_unresolved
startup_calibration_node.py,214,tf_source,msg.header.frame_id,,dynamic_unresolved
startup_calibration_node.py,214,tf_target,'base_link',base_link,relative_or_frame
startup_calibration_node.py,255,tf_source,msg.header.frame_id,,dynamic_unresolved
startup_calibration_node.py,255,tf_target,'map',map,relative_or_frame
startup_calibration_node.py,323,tf_source,self.scan_frame,,dynamic_unresolved
startup_calibration_node.py,323,tf_target,'base_link',base_link,relative_or_frame
startup_calibration_node.py,332,tf_source,'base_link',base_link,relative_or_frame
startup_calibration_node.py,332,tf_target,'map',map,relative_or_frame
tf_buffer.py,12,parameter:frame_prefix,node.get_namespace().strip('/'),,dynamic_unresolved
tf_buffer.py,25,tf_source,self.robot_frame(source_frame),,dynamic_unresolved
tf_buffer.py,25,tf_target,self.robot_frame(target_frame),,dynamic_unresolved
wander/navigator.py,55,create_publisher,'goal/straight_escape_result',goal/straight_escape_result,relative_or_frame
wander/navigator.py,56,create_subscription,'goal/straight_escape',goal/straight_escape,relative_or_frame
wander/navigator.py,59,create_publisher,'goal/cmd',goal/cmd,relative_or_frame
wander/navigator.py,60,create_publisher,'goal/arrival',goal/arrival,relative_or_frame
wander/navigator.py,61,create_subscription,'route',route,relative_or_frame
wander/navigator.py,62,create_subscription,'goal/manual_result',goal/manual_result,relative_or_frame
wander/navigator.py,159,tf_source,'base_link',base_link,relative_or_frame
wander/navigator.py,159,tf_target,'map',map,relative_or_frame
wander/node.py,34,create_publisher,'navigation/session',navigation/session,relative_or_frame
wander/node.py,36,create_subscription,'cmd_vel',cmd_vel,relative_or_frame
wander/node.py,38,parameter:cmd_topic,'cmd_vel_raw',cmd_vel_raw,relative_or_frame
wander/node.py,39,parameter:odom_topic,'odom',odom,relative_or_frame
wander/node.py,117,create_publisher,self.get_parameter('cmd_topic').value,cmd_vel_raw,relative_or_frame
wander/node.py,120,create_publisher,'wander/state',wander/state,relative_or_frame
wander/node.py,122,create_publisher,'robot/mode',robot/mode,relative_or_frame
wander/node.py,123,create_publisher,'safety/mode',safety/mode,relative_or_frame
wander/node.py,124,create_subscription,'safety/cliff',safety/cliff,relative_or_frame
wander/node.py,125,create_subscription,'safety/blocked',safety/blocked,relative_or_frame
wander/node.py,126,create_subscription,'safety/tilt',safety/tilt,relative_or_frame
wander/node.py,127,create_subscription,'safety/pickup',safety/pickup,relative_or_frame
wander/node.py,136,create_subscription,'estop/state',estop/state,relative_or_frame
wander/node.py,137,create_subscription,'calibration/ready',calibration/ready,relative_or_frame
wander/node.py,138,create_subscription,'safety/rear_clear',safety/rear_clear,relative_or_frame
wander/node.py,139,create_subscription,'safety/min_range',safety/min_range,relative_or_frame
wander/node.py,140,create_subscription,'safety/rear_range',safety/rear_range,relative_or_frame
wander/node.py,141,create_subscription,'safety/left_range',safety/left_range,relative_or_frame
wander/node.py,142,create_subscription,'safety/observation',safety/observation,relative_or_frame
wander/node.py,143,create_subscription,'safety/right_range',safety/right_range,relative_or_frame
wander/node.py,144,create_subscription,'safety/rear_left',safety/rear_left,relative_or_frame
wander/node.py,145,create_subscription,'safety/rear_right',safety/rear_right,relative_or_frame
wander/node.py,146,create_subscription,'safety/open_range',safety/open_range,relative_or_frame
wander/node.py,147,create_subscription,'safety/open_yaw',safety/open_yaw,relative_or_frame
wander/node.py,148,create_subscription,'safety/open_max',safety/open_max,relative_or_frame
wander/node.py,149,create_subscription,'safety/frontier_yaw',safety/frontier_yaw,relative_or_frame
wander/node.py,150,create_subscription,'safety/frontier_range',safety/frontier_range,relative_or_frame
wander/node.py,151,create_subscription,'safety/route_yaw',safety/route_yaw,relative_or_frame
wander/node.py,152,create_subscription,'safety/route_range',safety/route_range,relative_or_frame
wander/node.py,153,create_subscription,'safety/exit_yaw',safety/exit_yaw,relative_or_frame
wander/node.py,154,create_subscription,'safety/exit_range',safety/exit_range,relative_or_frame
wander/node.py,155,create_subscription,'ir_sensor/range',ir_sensor/range,relative_or_frame
